architecture,selected_prefix_count,mean_coverage,mean_hamming_risk,mean_exact_match_error,mean_brier_score,mean_log_loss
ecg_transformer,1712,0.7933271547729378,0.11164330218068526,0.35591900311526481,0.081518726026869173,0.27475291659623208
ecg_transformer,1713,0.79379054680259509,0.11165596419536865,0.35610040863981318,0.081536175573853578,0.27479336483971512
ecg_transformer,1714,0.79425393883225193,0.1116297160637883,0.35608712563204975,0.081537507951026378,0.27480029617214763
ecg_transformer,1715,0.79471733086190921,0.11179786200194353,0.35646258503401357,0.081610577599403197,0.27496334770992242
ecg_transformer,1716,0.79518072289156627,0.11173271173271164,0.35625485625485626,0.08159662285942991,0.27493989264772395
ecg_transformer,1717,0.79564411492122333,0.11178411958842932,0.3566297806251213,0.08161066363110174,0.27497326709456021
ecg_transformer,1718,0.79610750695088039,0.11183546759798203,0.35661622041133095,0.081654032570107463,0.27508488486400856
ecg_transformer,1719,0.79657089898053757,0.11188675586581336,0.35679658716307933,0.081679940958744326,0.27515448449450625
ecg_transformer,1720,0.79703429101019463,0.11186046511627895,0.35678294573643415,0.081659000130575018,0.27511713211750294
ecg_transformer,1721,0.79749768303985169,0.11191167925624625,0.35696300600426106,0.081713007090971235,0.27525010307368375
ecg_transformer,1722,0.79796107506950875,0.11204026325977534,0.35714285714285715,0.081764946209096842,0.27537653111531268
ecg_transformer,1723,0.79842446709916592,0.11201392919326743,0.35712903849874245,0.081760889801781159,0.27537231570424142
ecg_transformer,1724,0.79888785912882299,0.11206496519721565,0.35711523588553745,0.081801187151742186,0.27549158322300332
ecg_transformer,1725,0.79935125115848005,0.11211594202898538,0.35748792270531399,0.081798920844540643,0.27549110331884347
ecg_transformer,1726,0.79981464318813711,0.11220548474314394,0.3578601776747779,0.081852653610007903,0.27562014782112471
ecg_transformer,1727,0.80027803521779417,0.11225632117351851,0.35803898861223704,0.081866255339911417,0.27565427116870961
ecg_transformer,1728,0.80074142724745145,0.11230709876543198,0.35821759259259256,0.081873720229814442,0.27567687366302568
ecg_transformer,1729,0.80120481927710829,0.11251204935415449,0.35858877964141128,0.081965786786138126,0.27595204712834254
ecg_transformer,1730,0.80166821130676558,0.11252408477841991,0.35857418111753375,0.082006491076097976,0.27605105036413896
ecg_transformer,1731,0.80213160333642264,0.11269015983054098,0.35894473329481996,0.08210903731459164,0.27630393451137009
ecg_transformer,1732,0.8025949953660797,0.11270207852193981,0.35892994611239409,0.08211203828053093,0.27631517042882542
ecg_transformer,1733,0.80305838739573676,0.11282939026735898,0.35929986535872277,0.082193051493766323,0.27652316415079309
ecg_transformer,1734,0.80352177942539393,0.11291810841983839,0.3596693579392542,0.082260709709425214,0.27672351018498792
ecg_transformer,1735,0.803985171455051,0.11300672430355414,0.35984630163304515,0.082300668703351912,0.27681400467985035
ecg_transformer,1736,0.80444856348470806,0.11305683563748066,0.36002304147465436,0.082328099646102521,0.2768752789204153
ecg_transformer,1737,0.80491195551436512,0.11310688927269223,0.36039147956246403,0.08234070014087036,0.27690534668353922
