member_id,architecture,state,label,bin_index,count,probability_minimum,probability_maximum,mean_probability,event_rate
resnet1d-seed2026,resnet1d,raw,CD,5,144,0.016914913266726509,0.024053552894426178,0.020112207728918436,0.041666666666666664
resnet1d-seed2026,resnet1d,raw,CD,6,144,0.024053552894426178,0.035144846400793267,0.029099513605635476,0.048611111111111112
resnet1d-seed2026,resnet1d,raw,CD,7,144,0.035678550877730524,0.051082736957052489,0.042612653631235536,0.11805555555555555
resnet1d-seed2026,resnet1d,raw,CD,8,144,0.051845466649779827,0.07585818002124356,0.061924408720977896,0.041666666666666664
resnet1d-seed2026,resnet1d,raw,CD,9,144,0.07585818002124356,0.11920292202211755,0.096427090050617462,0.125
resnet1d-seed2026,resnet1d,raw,CD,10,144,0.1200256277543614,0.21076630631977089,0.16052265171268904,0.18055555555555555
resnet1d-seed2026,resnet1d,raw,CD,11,144,0.21076630631977089,0.39326850456398726,0.28674759027049801,0.34027777777777779
resnet1d-seed2026,resnet1d,raw,CD,12,144,0.39326850456398726,0.73411952690018301,0.56533352903987377,0.59722222222222221
resnet1d-seed2026,resnet1d,raw,CD,13,143,0.7416740114308128,0.9711290930537122,0.87773879094766671,0.84615384615384615
resnet1d-seed2026,resnet1d,raw,CD,14,143,0.97199247939401179,0.99998921668777696,0.99331352516683924,0.99300699300699302
resnet1d-seed2026,resnet1d,raw,HYP,0,144,8.9396963047991674e-06,0.00026119031909571942,0.0001289381989423194,0
resnet1d-seed2026,resnet1d,raw,HYP,1,144,0.00026119031909571942,0.00060707558044150963,0.00043220999262016664,0.013888888888888888
resnet1d-seed2026,resnet1d,raw,HYP,2,144,0.00060707558044150963,0.0011695102650555148,0.00086536852853581704,0.0069444444444444441
resnet1d-seed2026,resnet1d,raw,HYP,3,144,0.0011695102650555148,0.0019267346633274755,0.0015575954022364743,0.0069444444444444441
resnet1d-seed2026,resnet1d,raw,HYP,4,144,0.0019267346633274755,0.0031726828424851893,0.0024937052140252699,0
resnet1d-seed2026,resnet1d,raw,HYP,5,144,0.0031726828424851893,0.0049054057057220353,0.0039919962459297343,0.020833333333333332
resnet1d-seed2026,resnet1d,raw,HYP,6,144,0.0049054057057220353,0.0073458265744770612,0.0060955035984413203,0.020833333333333332
resnet1d-seed2026,resnet1d,raw,HYP,7,144,0.0073458265744770612,0.011331753531361453,0.0092700422754788646,0.034722222222222224
resnet1d-seed2026,resnet1d,raw,HYP,8,144,0.011331753531361453,0.019124036750888904,0.014959958521020118,0.041666666666666664
resnet1d-seed2026,resnet1d,raw,HYP,9,144,0.019124036750888904,0.03161876726864548,0.024991524322269407,0.069444444444444448
resnet1d-seed2026,resnet1d,raw,HYP,10,144,0.03161876726864548,0.058345840611681063,0.044653583462357455,0.0625
resnet1d-seed2026,resnet1d,raw,HYP,11,144,0.058345840611681063,0.10818895456207035,0.079250494073594302,0.16666666666666666
resnet1d-seed2026,resnet1d,raw,HYP,12,144,0.10970577387797074,0.23934934732271168,0.16465542214880513,0.22222222222222221
resnet1d-seed2026,resnet1d,raw,HYP,13,143,0.23934934732271168,0.57797184461135009,0.38636112784588572,0.41258741258741261
resnet1d-seed2026,resnet1d,raw,HYP,14,143,0.57797184461135009,0.99998526101802543,0.82739579723933077,0.74825174825174823
resnet1d-seed2026,resnet1d,calibrated,NORM,0,144,7.2336202179271115e-07,0.0018717835111334716,0.00078254818330709519,0
resnet1d-seed2026,resnet1d,calibrated,NORM,1,144,0.0018717835111334716,0.006102360445415604,0.003670112759892089,0
resnet1d-seed2026,resnet1d,calibrated,NORM,2,144,0.006102360445415604,0.014979300947682142,0.010206731353301766,0
resnet1d-seed2026,resnet1d,calibrated,NORM,3,144,0.014979300947682142,0.036297697610801365,0.023362391174227757,0.0069444444444444441
resnet1d-seed2026,resnet1d,calibrated,NORM,4,144,0.036297697610801365,0.091898739467882698,0.060805187288111254,0.041666666666666664
resnet1d-seed2026,resnet1d,calibrated,NORM,5,144,0.091898739467882698,0.21672282331374143,0.15050546261820713,0.13194444444444445
resnet1d-seed2026,resnet1d,calibrated,NORM,6,144,0.21771137818368563,0.38784267115323473,0.29945206542350067,0.2361111111111111
resnet1d-seed2026,resnet1d,calibrated,NORM,7,144,0.38922390349184977,0.58703939244789893,0.50092282450870851,0.40277777777777779
resnet1d-seed2026,resnet1d,calibrated,NORM,8,144,0.58703939244789893,0.72645924899405512,0.65964607821896781,0.60416666666666663
resnet1d-seed2026,resnet1d,calibrated,NORM,9,144,0.72645924899405512,0.81583096658529997,0.77778204268463169,0.73611111111111116
resnet1d-seed2026,resnet1d,calibrated,NORM,10,144,0.81583096658529997,0.88559202973190465,0.85307732607568543,0.81944444444444442
resnet1d-seed2026,resnet1d,calibrated,NORM,11,144,0.88676486847344649,0.93040908388721144,0.90999304787970159,0.86111111111111116
resnet1d-seed2026,resnet1d,calibrated,NORM,12,144,0.93115820074370526,0.96030425048911039,0.94617758840676047,0.90972222222222221
resnet1d-seed2026,resnet1d,calibrated,NORM,13,143,0.961181322541516,0.97983965929926931,0.97120194003008786,0.95104895104895104
resnet1d-seed2026,resnet1d,calibrated,NORM,14,143,0.97983965929926931,0.99803927627646538,0.98769328349575802,1
resnet1d-seed2026,resnet1d,calibrated,MI,0,144,0.00022069730704168313,0.0044140631591503485,0.0025553868591323427,0
resnet1d-seed2026,resnet1d,calibrated,MI,1,144,0.0045174482424074295,0.0090346287934829073,0.0065785719031821515,0.0069444444444444441
resnet1d-seed2026,resnet1d,calibrated,MI,2,144,0.0090346287934829073,0.014979300947682142,0.011644130802112095,0.013888888888888888
resnet1d-seed2026,resnet1d,calibrated,MI,3,144,0.014979300947682142,0.024182945914480891,0.01917608340398308,0.0069444444444444441
resnet1d-seed2026,resnet1d,calibrated,MI,4,144,0.024182945914480891,0.037120010175499388,0.030418811506532646,0.034722222222222224
resnet1d-seed2026,resnet1d,calibrated,MI,5,144,0.037120010175499388,0.055959254128987362,0.046314902816223427,0.055555555555555552
resnet1d-seed2026,resnet1d,calibrated,MI,6,144,0.055959254128987362,0.083530388221431259,0.069222733710351231,0.041666666666666664
resnet1d-seed2026,resnet1d,calibrated,MI,7,144,0.083530388221431259,0.1241761830259034,0.10307431325384971,0.1111111111111111
resnet1d-seed2026,resnet1d,calibrated,MI,8,144,0.1241761830259034,0.18592253336415812,0.15617798132884053,0.097222222222222224
